RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.941D-03  1.103D-02
    1    2     1     0  ---    0  1.0D+02  1.0D+00  5.740D-04  4.280D-03
    2    3     0     0  con    0  1.0D+00  8.6D-01  9.283D-04  2.062D-03
    3    4     0     0  con    0  1.0D+00  6.5D-01  7.631D-04  1.164D-03
    4    5     0     0  con    0  1.0D+00  8.7D-01  1.491D-04  5.383D-04
    5    6     0     0  con    0  1.0D+00  3.5D-01  3.666D-04  4.286D-04
    6    7     0     0  con    0  1.0D+00  4.0D-01  3.188D-04  3.103D-04
    7    8     0     0  con    0  1.0D+00  9.5D-01  1.288D-04  1.297D-04
    8    9     0     0  con    0  1.0D+00  3.9D-01  4.330D-05  9.390D-05
    9   10     0     0  con    0  1.0D+00  1.8D-01  4.360D-05  8.240D-05
   10   11     0     0  con    0  1.0D+00  3.3D-01  1.145D-04  6.746D-05
   11   12     0     0  con    0  1.0D+00  4.1D-01  1.342D-04  5.171D-05
   12   13     0     0  con    0  1.0D+00  5.9D-01  6.928D-05  3.171D-05
   13   14     0     0  con    0  1.0D+00  4.2D-01  2.905D-05  2.641D-05
   14   15     0     0  con    0  1.0D+00  1.6D-01  6.853D-05  2.308D-05
   15   16     0     0  con    0  1.0D+00  1.4D-01  3.022D-05  2.023D-05
   16   17     0     0  con    0  1.0D+00  5.8D-02  2.053D-05  1.840D-05
   17   18     0     0  con    0  1.0D+00  1.7D-01  7.714D-06  1.498D-05
   18   19     0     0  con    0  1.0D+00  1.8D-01  1.300D-05  1.361D-05
   19   21     0     0  con    1  1.7D-01  3.6D-02  1.309D-05  1.348D-05
   20   22     0     0  con    0  1.0D+00  9.0D-02  6.604D-06  1.335D-05
   21   23     0     0  con    0  1.0D+00  3.0D-02  6.413D-06  1.324D-05
   22   24     0     0  con    0  1.0D+00  7.9D-02  1.619D-05  1.287D-05
   23   25     0     0  con    0  1.0D+00  9.5D-02  2.280D-05  1.228D-05
   24   26     0     0  con    0  1.0D+00  2.4D-01  2.565D-05  1.074D-05
   25   27     0     0  con    0  1.0D+00  4.1D-01  3.366D-05  8.447D-06
   26   29     0     0  con    1  3.3D-01  2.7D-01  1.683D-05  7.265D-06
   27   30     0     0  con    0  1.0D+00  2.8D-01  1.411D-05  5.774D-06
   28   32     0     0  con    1  1.2D-01  8.9D-02  4.852D-06  5.500D-06
   29   33     0     0  con    0  1.0D+00  7.8D-02  7.114D-06  5.169D-06
   30   34     0     0  con    0  1.0D+00  2.8D-02  1.029D-05  5.035D-06
   31   35     0     0  con    0  1.0D+00  4.0D-02  6.314D-06  4.947D-06
   32   36     0     0  con    0  1.0D+00  3.5D-02  3.006D-06  4.870D-06
   33   37     0     0  con    0  1.0D+00  6.0D-02  7.326D-06  4.726D-06
   34   38     0     0  con    0  1.0D+00  4.5D-02  9.621D-06  4.535D-06
   35   39     0     0  con    0  1.0D+00  2.3D-01  1.744D-05  3.874D-06
   36   40     0     0  con    0  1.0D+00  3.0D-01  2.235D-05  2.885D-06
   37   42     0     0  con    1  2.6D-01  2.6D-01  2.570D-05  2.518D-06
   38   43     0     0  con    0  1.0D+00  2.6D-01  9.550D-06  1.856D-06
   39   44     0     0  con    0  1.0D+00  6.9D-02  3.483D-06  1.705D-06
   40   45     0     0  con    0  1.0D+00  2.5D-02  2.115D-06  1.695D-06
   41   46     0     0  con    0  1.0D+00  1.5D-02  6.845D-07  1.692D-06
   42   47     0     0  con    0  1.0D+00  1.2D-03  6.466D-07  1.690D-06
   43   48     0     0  con    0  1.0D+00  1.0D-02  1.459D-06  1.679D-06
   44   49     0     0  con    0  1.0D+00  1.2D-02  2.218D-06  1.669D-06
   45   50     0     0  con    0  1.0D+00  4.7D-02  3.072D-06  1.629D-06
   46   51     0     0  con    0  1.0D+00  9.3D-02  9.373D-06  1.573D-06
   47   52     0     0  con    0  1.0D+00  5.9D-02  6.900D-06  1.494D-06
   48   53     0     0  con    0  1.0D+00  2.6D-01  5.696D-06  1.257D-06
   49   54     0     0  con    0  1.0D+00  1.4D-01  7.449D-06  1.145D-06
